R_fighter;B_fighter;Winner
Tim Means;Laureano Staropoli;Tim Means
Kevin Holland;Joaquin Buckley;Kevin Holland
Nasrat Haqparast;Alexander Munoz;Nasrat Haqparast
Derrick Lewis;Aleksei Oleinik;Derrick Lewis
Yana Kunitskaya;Julija Stoliarenko;Yana Kunitskaya
Beneil Dariush;Scott Holtzman;Beneil Dariush
Maki Pitolo;Darren Stewart;Darren Stewart
Omari Akhmedov;Chris Weidman;Chris Weidman
Youssef Zalal;Peter Barrett;Youssef Zalal
Irwin Rivera;Ali AlQaisi;Irwin Rivera
Gavin Tucker;Justin Jaynes;Gavin Tucker
Andrew Sanchez;Wellington Turman;Andrew Sanchez
Joanne Calderwood;Jennifer Maia;Jennifer Maia
Johnny Munoz;Nate Maness;Nate Maness
Frankie Saenz;Jonathan Martinez;Jonathan Martinez
Jamall Emmers;Vince Cachero;Jamall Emmers
Vicente Luque;Randy Brown;Vicente Luque
Derek Brunson;Edmen Shahbazyan;Derek Brunson
Chris Gutierrez;Cody Durden;
Lando Vannata;Bobby Green;Bobby Green
Alex Oliveira;Peter Sobotta;Alex Oliveira
Robert Whittaker;Darren Till;Robert Whittaker
Mauricio Rua;Rogerio Nogueira;Mauricio Rua
Francisco Trinaldo;Jai Herbert;Francisco Trinaldo
Carla Esparza;Marina Rodriguez;Carla Esparza
Khamzat Chimaev;Rhys McKee;Khamzat Chimaev
Paul Craig;Gadzhimurad Antigulov;Paul Craig
Fabricio Werdum;Alexander Gustafsson;Fabricio Werdum
Tom Aspinall;Jake Collier;Tom Aspinall
Nicolas Dalby;Jesse Ronson;
Tanner Boser;Raphael Pessoa;Tanner Boser
Movsar Evloev;Mike Grundy;Movsar Evloev
Ramazan Emeev;Niklas Stolze;Ramazan Emeev
Bethe Correia;Pannie Kianzad;Pannie Kianzad
Nathaniel Wood;John Castaneda;Nathaniel Wood
Joe Duffy;Joel Alvarez;Joel Alvarez
Jack Hermansson;Kelvin Gastelum;Jack Hermansson
Marc Diakiese;Rafael Fiziev;Rafael Fiziev
Alexandre Pantoja;Askar Askarov;Askar Askarov
Grant Dawson;Nad Narimani;Grant Dawson
Deiveson Figueiredo;Joseph Benavidez;Deiveson Figueiredo
Roman Dolidze;Khadis Ibragimov;Roman Dolidze
Ariane Lipski;Luana Carolina;Ariane Lipski
Malcolm Gordon;Amir Albazi;Amir Albazi
Brett Johns;Montel Jackson;Brett Johns
Carlos Felipe;Serghei Spivac;Serghei Spivac
Davi Ramos;Arman Tsarukyan;Arman Tsarukyan
Modestas Bukauskas;Andreas Michailidis;Modestas Bukauskas
Molly McCann;Taila Santos;Taila Santos
John Phillips;Khamzat Chimaev;Khamzat Chimaev
Ricardo Ramos;Lerone Murphy;Lerone Murphy
Jimmie Rivera;Cody Stamann;Jimmie Rivera
Calvin Kattar;Dan Ige;Calvin Kattar
Abdul Razak Alhassan;Mounir Lazzez;Mounir Lazzez
Tim Elliott;Ryan Benoit;Tim Elliott
Diana Belbita;Liana Jojua;Liana Jojua
Jack Shore;Aaron Phillips;Jack Shore
Jared Gordon;Chris Fishgold;Jared Gordon
Jessica Andrade;Rose Namajunas;Rose Namajunas
Makwan Amirkhani;Danny Henry;Makwan Amirkhani
Volkan Oezdemir;Jiri Prochazka;Jiri Prochazka
Elizeu Zaleski dos Santos;Muslim Salikhov;Muslim Salikhov
Petr Yan;Jose Aldo;Petr Yan
Alexander Volkanovski;Max Holloway;Alexander Volkanovski
Kamaru Usman;Jorge Masvidal;Kamaru Usman
Amanda Ribas;Paige VanZant;Amanda Ribas
Leonardo Santos;Roman Bogatov;Leonardo Santos
Karol Rosa;Vanessa Melo;Karol Rosa
Marcin Tybura;Maxim Grishin;Marcin Tybura
Raulian Paiva;Zhalgas Zhumagulov;Raulian Paiva
