R_fighter;B_fighter;Winner
James McSweeney;Travis Browne;Travis Browne
Chris Camozzi;James Hammortree;Chris Camozzi
Tyson Griffin;Evan Dunham;Evan Dunham
Paulo Thiago;Martin Kampmann;Martin Kampmann
Mirko Filipovic;Pat Barry;Mirko Filipovic
David Loiseau;Mario Miranda;Mario Miranda
Ben Rothwell;Gilbert Yvel;Ben Rothwell
Carlos Condit;Rory MacDonald;Carlos Condit
Mac Danzig;Matt Wiman;Matt Wiman
Chuck Liddell;Rich Franklin;Rich Franklin
James Wilks;Peter Sobotta;James Wilks
Ricardo Funch;Claude Patrick;Claude Patrick
Mike Pyle;Jesse Lennox;Mike Pyle
Melvin Guillard;Waylon Lowe;Melvin Guillard
Michael Bisping;Dan Miller;Michael Bisping
Todd Duffee;Mike Russow;Mike Russow
Efrain Escudero;Dan Lauzon;Efrain Escudero
Jason Brilz;Rogerio Nogueira;Rogerio Nogueira
Diego Sanchez;John Hathaway;John Hathaway
Quinton Jackson;Rashad Evans;Rashad Evans
Amir Sadollah;Dong Hyun Kim;Dong Hyun Kim
Luiz Cane;Cyrille Diabate;Cyrille Diabate
Aaron Riley;Joe Brammer;Aaron Riley
Jesse Forbes;Ryan Jensen;Ryan Jensen
Marcus Davis;Jonathan Goulet;Marcus Davis
Tom Lawlor;Joe Doerksen;Joe Doerksen
Josh Koscheck;Paul Daley;Josh Koscheck
TJ Grant;Johny Hendricks;Johny Hendricks
Patrick Cote;Alan Belcher;Alan Belcher
Sam Stout;Jeremy Stephens;Jeremy Stephens
Kevin Ferguson;Matt Mitrione;Matt Mitrione
Joey Beltran;Tim Hague;Joey Beltran
Jason MacDonald;John Salter;John Salter
Yoshiyuki Yoshida;Mike Guymon;Mike Guymon
Lyoto Machida;Mauricio Rua;Mauricio Rua
BJ Penn;Frankie Edgar;Frankie Edgar
Anderson Silva;Demian Maia;Anderson Silva
Kendall Grove;Mark Munoz;Mark Munoz
Nick Osipczak;Rick Story;Rick Story
Matt Hughes;Renzo Gracie;Matt Hughes
DaMarques Johnson;Brad Blackburn;DaMarques Johnson
Alexander Gustafsson;Phil Davis;Phil Davis
Terry Etim;Rafael Dos Anjos;Rafael Dos Anjos
Paul Kelly;Matt Veach;Paul Kelly
Jon Madsen;Mostapha Al-Turk;Jon Madsen
Kenny Florian;Takanori Gomi;Kenny Florian
Ross Pearson;Dennis Siver;Ross Pearson
Rob Emerson;Nik Lentz;Nik Lentz
Caol Uno;Gleison Tibau;Gleison Tibau
Andre Winner;Rafaello Oliveira;Andre Winner
Roy Nelson;Stefan Struve;Roy Nelson
Jacob Volkmann;Ronys Torres;Jacob Volkmann
Nate Quarry;Jorge Rivera;Jorge Rivera
Yushin Okami;Lucio Linhares;Yushin Okami
Gerald Harris;Mario Miranda;Gerald Harris
Charlie Brenneman;Jason High;Charlie Brenneman
Jim Miller;Mark Bocek;Jim Miller
Rousimar Palhares;Tomasz Drwal;Rousimar Palhares
Ricardo Almeida;Matt Brown;Ricardo Almeida
Nate Diaz;Rory Markham;Nate Diaz
Kurt Pellegrino;Fabricio Camoes;Kurt Pellegrino
Georges St-Pierre;Dan Hardy;Georges St-Pierre
Frank Mir;Shane Carwin;Shane Carwin
Ben Saunders;Jon Fitch;Jon Fitch
Rodney Wallace;Jared Hamman;Jared Hamman
Matthew Riddle;Greg Soto;Matthew Riddle
Alessio Sakara;James Irvin;Alessio Sakara
John Howard;Daniel Roberts;John Howard
Clay Guida;Shannon Gugerty;Clay Guida
Eliot Marshall;Vladimir Matyushenko;Vladimir Matyushenko
Junior Dos Santos;Gabriel Gonzaga;Junior Dos Santos
Duane Ludwig;Darren Elkins;Darren Elkins
Brandon Vera;Jon Jones;Jon Jones
Cheick Kongo;Paul Buentello;Cheick Kongo
Brendan Schaub;Chase Gormley;Brendan Schaub
Eric Schafer;Jason Brilz;Jason Brilz
Mike Pierce;Julio Paulino;Mike Pierce
Chris Lytle;Brian Foster;Chris Lytle
Krzysztof Soszynski;Stephan Bonnar;Krzysztof Soszynski
CB Dollaway;Goran Reljic;CB Dollaway
Cain Velasquez;Antonio Rodrigo Nogueira;Cain Velasquez
Mirko Filipovic;Anthony Perosh;Mirko Filipovic
George Sotiropoulos;Joe Stevenson;George Sotiropoulos
Ryan Bader;Keith Jardine;Ryan Bader
Wanderlei Silva;Michael Bisping;Wanderlei Silva
James Te Huna;Igor Pokrajac;James Te Huna
Demian Maia;Dan Miller;Demian Maia
Melvin Guillard;Ronys Torres;Melvin Guillard
Matt Serra;Frank Trigg;Matt Serra
Randy Couture;Mark Coleman;Randy Couture
Mac Danzig;Justin Buchholz;Mac Danzig
Paulo Thiago;Mike Swick;Paulo Thiago
Rob Emerson;Phillipe Nover;Rob Emerson
Chael Sonnen;Nate Marquardt;Chael Sonnen
Phil Davis;Brian Stann;Phil Davis
Chris Tuchscherer;Tim Hague;Chris Tuchscherer
Joey Beltran;Rolles Gracie;Joey Beltran
Rick Story;Jesse Lennox;Rick Story
Amir Sadollah;Brad Blackburn;Amir Sadollah
Aaron Simpson;Tom Lawlor;Aaron Simpson
Evan Dunham;Efrain Escudero;Evan Dunham
Rory MacDonald;Mike Guymon;Rory MacDonald
Gray Maynard;Nate Diaz;Gray Maynard
Thiago Tavares;Nik Lentz;
Chris Leben;Jay Silva;Chris Leben
Gerald Harris;John Salter;Gerald Harris
Rafael Dos Anjos;Kyle Bradley;Rafael Dos Anjos
Nick Catone;Jesse Forbes;Nick Catone
Jim Miller;Duane Ludwig;Jim Miller
Martin Kampmann;Jacob Volkmann;Martin Kampmann
Cole Miller;Dan Lauzon;Cole Miller
Paul Daley;Dustin Hazelett;Paul Daley
Junior Dos Santos;Gilbert Yvel;Junior Dos Santos
Sam Stout;Joe Lauzon;Sam Stout
Rashad Evans;Thiago Silva;Rashad Evans
Mark Munoz;Ryan Jensen;Mark Munoz
Rafaello Oliveira;John Gunderson;Rafaello Oliveira
Jake Ellenberger;Mike Pyle;Jake Ellenberger
Frank Mir;Cheick Kongo;Frank Mir
Johny Hendricks;Ricardo Funch;Johny Hendricks
Matt Wiman;Shane Nelson;Matt Wiman
Jon Fitch;Mike Pierce;Jon Fitch
Kenny Florian;Clay Guida;Kenny Florian
Alan Belcher;Wilson Gouveia;Alan Belcher
Stefan Struve;Paul Buentello;Stefan Struve
BJ Penn;Diego Sanchez;BJ Penn
Rousimar Palhares;Lucio Linhares;Rousimar Palhares
DaMarques Johnson;Edgar Garcia;DaMarques Johnson
TJ Grant;Kevin Burns;TJ Grant
Matt Hamill;Jon Jones;Matt Hamill
Brian Stann;Rodney Wallace;Brian Stann
Matt Mitrione;Marcus Jones;Matt Mitrione
Frankie Edgar;Matt Veach;Frankie Edgar
James McSweeney;Darrill Schoonover;James McSweeney
Kevin Ferguson;Houston Alexander;Kevin Ferguson
Roy Nelson;Brendan Schaub;Roy Nelson
Jon Madsen;Justin Wren;Jon Madsen
John Howard;Dennis Hallman;John Howard
Mark Bocek;Joe Brammer;Mark Bocek
Rogerio Nogueira;Luiz Cane;Rogerio Nogueira
Paulo Thiago;Jacob Volkmann;Paulo Thiago
Ben Saunders;Marcus Davis;Ben Saunders
Kendall Grove;Jake Rosholt;Kendall Grove
Josh Koscheck;Anthony Johnson;Josh Koscheck
Brian Foster;Brock Larson;Brian Foster
Forrest Griffin;Tito Ortiz;Forrest Griffin
Amir Sadollah;Phil Baroni;Amir Sadollah
Caol Uno;Fabricio Camoes;
George Sotiropoulos;Jason Dent;George Sotiropoulos
Randy Couture;Brandon Vera;Randy Couture
Terry Etim;Shannon Gugerty;Terry Etim
Michael Bisping;Denis Kang;Michael Bisping
Nick Osipczak;Matthew Riddle;Nick Osipczak
John Hathaway;Paul Taylor;John Hathaway
Matt Brown;James Wilks;Matt Brown
Ross Pearson;Aaron Riley;Ross Pearson
Dan Hardy;Mike Swick;Dan Hardy
Alexander Gustafsson;Jared Hamman;Alexander Gustafsson
Dennis Siver;Paul Kelly;Dennis Siver
Andre Winner;Rolando Delgado;Andre Winner
Anthony Johnson;Yoshiyuki Yoshida;Anthony Johnson
Lyoto Machida;Mauricio Rua;Lyoto Machida
Ryan Bader;Eric Schafer;Ryan Bader
Joe Stevenson;Spencer Fisher;Joe Stevenson
Chael Sonnen;Yushin Okami;Chael Sonnen
Gleison Tibau;Josh Neer;Gleison Tibau
Pat Barry;Antoni Hardonk;Pat Barry
Cain Velasquez;Ben Rothwell;Cain Velasquez
Stefan Struve;Chase Gormley;Stefan Struve
Jorge Rivera;Rob Kimmons;Jorge Rivera
Kyle Kingsbury;Razak Al-Hassan;Kyle Kingsbury
Josh Koscheck;Frank Trigg;Josh Koscheck
Junior Dos Santos;Mirko Filipovic;Junior Dos Santos
Tyson Griffin;Hermes Franca;Tyson Griffin
Vitor Belfort;Rich Franklin;Vitor Belfort
Jim Miller;Steve Lopez;Jim Miller
Efrain Escudero;Cole Miller;Efrain Escudero
Paul Daley;Martin Kampmann;Paul Daley
Nik Lentz;Rafaello Oliveira;Nik Lentz
Tomasz Drwal;Drew McFedries;Tomasz Drwal
Rick Story;Brian Foster;Rick Story
Rafael Dos Anjos;Rob Emerson;Rafael Dos Anjos
Eliot Marshall;Jason Brilz;Eliot Marshall
Vladimir Matyushenko;Igor Pokrajac;Vladimir Matyushenko
CB Dollaway;Jay Silva;CB Dollaway
Brian Stann;Steve Cantwell;Brian Stann
Jeremy Stephens;Justin Buchholz;Jeremy Stephens
Nate Diaz;Melvin Guillard;Nate Diaz
Nate Quarry;Tim Credeur;Nate Quarry
Gray Maynard;Roger Huerta;Gray Maynard
Carlos Condit;Jake Ellenberger;Carlos Condit
Mike Pyle;Chris Wilson;Mike Pyle
Ryan Jensen;Steve Steinbeiss;Ryan Jensen
Mike Pierce;Brock Larson;Mike Pierce
Thiago Silva;Keith Jardine;Thiago Silva
Brandon Vera;Krzysztof Soszynski;Brandon Vera
Gabriel Gonzaga;Chris Tuchscherer;Gabriel Gonzaga
Antonio Rodrigo Nogueira;Randy Couture;Antonio Rodrigo Nogueira
Aaron Simpson;Ed Herman;Aaron Simpson
Mike Russow;Justin McCully;Mike Russow
Jake Rosholt;Chris Leben;Jake Rosholt
Nate Marquardt;Demian Maia;Nate Marquardt
Evan Dunham;Marcus Aurelio;Evan Dunham
Todd Duffee;Tim Hague;Todd Duffee
Mark Munoz;Nick Catone;Mark Munoz
Aaron Riley;Shane Nelson;Aaron Riley
BJ Penn;Kenny Florian;BJ Penn
Kurt Pellegrino;Josh Neer;Kurt Pellegrino
Anderson Silva;Forrest Griffin;Anderson Silva
Johny Hendricks;Amir Sadollah;Johny Hendricks
John Howard;Tamdan McCrory;John Howard
Alessio Sakara;Thales Leites;Alessio Sakara
Ricardo Almeida;Kendall Grove;Ricardo Almeida
Matthew Riddle;Dan Cramer;Matthew Riddle
Jesse Lennox;Danillo Villefort;Jesse Lennox
George Sotiropoulos;George Roop;George Sotiropoulos
Jim Miller;Mac Danzig;Jim Miller
Jon Fitch;Paulo Thiago;Jon Fitch
Brock Lesnar;Frank Mir;Brock Lesnar
Mark Coleman;Stephan Bonnar;Mark Coleman
Georges St-Pierre;Thiago Alves;Georges St-Pierre
Yoshihiro Akiyama;Alan Belcher;Yoshihiro Akiyama
Dan Henderson;Michael Bisping;Dan Henderson
Jon Jones;Jake O'Brien;Jon Jones
Tom Lawlor;CB Dollaway;Tom Lawlor
Dong Hyun Kim;TJ Grant;Dong Hyun Kim
Shannon Gugerty;Matt Grice;Shannon Gugerty
Diego Sanchez;Clay Guida;Diego Sanchez
Ross Pearson;Andre Winner;Ross Pearson
Tomasz Drwal;Mike Ciesnolevicz;Tomasz Drwal
Chris Lytle;Kevin Burns;Chris Lytle
Brad Blackburn;Edgar Garcia;Brad Blackburn
Melvin Guillard;Gleison Tibau;Melvin Guillard
Joe Stevenson;Nate Diaz;Joe Stevenson
Nick Osipczak;Frank Lester;Nick Osipczak
Jason Dent;Cameron Dollar;Jason Dent
James Wilks;DaMarques Johnson;James Wilks
Mirko Filipovic;Mostapha Al-Turk;Mirko Filipovic
Spencer Fisher;Caol Uno;Spencer Fisher
Rich Franklin;Wanderlei Silva;Rich Franklin
Dan Hardy;Marcus Davis;Dan Hardy
Mike Swick;Ben Saunders;Mike Swick
Terry Etim;Justin Buchholz;Terry Etim
Dennis Siver;Dale Hartt;Dennis Siver
Cain Velasquez;Cheick Kongo;Cain Velasquez
Paul Kelly;Rolando Delgado;Paul Kelly
John Hathaway;Rick Story;John Hathaway
Paul Taylor;Peter Sobotta;Paul Taylor
Stefan Struve;Denis Stojnic;Stefan Struve
Brock Larson;Mike Pyle;Brock Larson
Tim Hague;Pat Barry;Tim Hague
Kyle Bradley;Phillipe Nover;Kyle Bradley
Lyoto Machida;Rashad Evans;Lyoto Machida
Frankie Edgar;Sean Sherk;Frankie Edgar
Chael Sonnen;Dan Miller;Chael Sonnen
Matt Hughes;Matt Serra;Matt Hughes
Drew McFedries;Xavier Foupa-Pokam;Drew McFedries
Krzysztof Soszynski;Andre Gusmao;Krzysztof Soszynski
Yoshiyuki Yoshida;Brandon Wolff;Yoshiyuki Yoshida
George Roop;David Kaplan;George Roop
Cheick Kongo;Antoni Hardonk;Cheick Kongo
Luiz Cane;Steve Cantwell;Luiz Cane
Krzysztof Soszynski;Brian Stann;Krzysztof Soszynski
Denis Kang;Xavier Foupa-Pokam;Denis Kang
Nate Quarry;Jason MacDonald;Nate Quarry
Sam Stout;Matt Wiman;Sam Stout
Mauricio Rua;Chuck Liddell;Mauricio Rua
Anderson Silva;Thales Leites;Anderson Silva
Ed Herman;David Loiseau;Ed Herman
Mark Bocek;David Bielkheden;Mark Bocek
TJ Grant;Ryo Chonan;TJ Grant
Eliot Marshall;Vinny Magalhaes;Eliot Marshall
Tim Credeur;Nick Catone;Tim Credeur
Gleison Tibau;Jeremy Stephens;Gleison Tibau
Tyson Griffin;Rafael Dos Anjos;Tyson Griffin
Ricardo Almeida;Matt Horwich;Ricardo Almeida
Brock Larson;Jesse Sanders;Brock Larson
Ryan Bader;Carmelo Marrero;Ryan Bader
Cole Miller;Junie Browning;Cole Miller
Martin Kampmann;Carlos Condit;Martin Kampmann
Rob Kimmons;Joe Vedepo;Rob Kimmons
Aaron Simpson;Tim McKenzie;Aaron Simpson
Jorge Rivera;Nissen Osterneck;Jorge Rivera
Gray Maynard;Jim Miller;Gray Maynard
Tamdan McCrory;Ryan Madigan;Tamdan McCrory
Shane Carwin;Gabriel Gonzaga;Shane Carwin
Matt Brown;Pete Sell;Matt Brown
Matt Hamill;Mark Munoz;Matt Hamill
Quinton Jackson;Keith Jardine;Quinton Jackson
Kendall Grove;Jason Day;Kendall Grove
Jason Brilz;Tim Boetsch;Jason Brilz
Shane Nelson;Aaron Riley;Shane Nelson
Brandon Vera;Michael Patt;Brandon Vera
Demian Maia;Chael Sonnen;Demian Maia
Diego Sanchez;Joe Stevenson;Diego Sanchez
Evan Dunham;Per Eklund;Evan Dunham
Terry Etim;Brian Cobb;Terry Etim
Paulo Thiago;Josh Koscheck;Paulo Thiago
Nate Marquardt;Wilson Gouveia;Nate Marquardt
Junior Dos Santos;Stefan Struve;Junior Dos Santos
Dan Hardy;Rory Markham;Dan Hardy
Mike Ciesnolevicz;Neil Grove;Mike Ciesnolevicz
Paul Kelly;Troy Mandaloniz;Paul Kelly
Joe Lauzon;Jeremy Stephens;Joe Lauzon
Cain Velasquez;Denis Stojnic;Cain Velasquez
Matt Veach;Matt Grice;Matt Veach
Josh Neer;Mac Danzig;Josh Neer
Anthony Johnson;Luigi Fioravanti;Anthony Johnson
Dan Miller;Jake Rosholt;Dan Miller
Kurt Pellegrino;Rob Emerson;Kurt Pellegrino
Gleison Tibau;Rich Clementi;Gleison Tibau
Nick Catone;Derek Downey;Nick Catone
Matthew Riddle;Steve Bruno;Matthew Riddle
Thiago Tavares;Manvel Gamburyan;Thiago Tavares
Clay Guida;Nate Diaz;Clay Guida
Jon Jones;Stephan Bonnar;Jon Jones
Georges St-Pierre;BJ Penn;Georges St-Pierre
Lyoto Machida;Thiago Silva;Lyoto Machida
Jon Fitch;Akihiro Gono;Jon Fitch
John Howard;Chris Wilson;John Howard
Karo Parisyan;Dong Hyun Kim;
Jake O'Brien;Christian Wellisch;Jake O'Brien
Dan Cramer;Matt Arroyo;Dan Cramer
Marcus Davis;Chris Lytle;Marcus Davis
John Hathaway;Tom Egan;John Hathaway
Dan Henderson;Rich Franklin;Dan Henderson
Mauricio Rua;Mark Coleman;Mauricio Rua
Eric Schafer;Antonio Mendes;Eric Schafer
Martin Kampmann;Alexandre Barros;Martin Kampmann
Rousimar Palhares;Jeremy Horn;Rousimar Palhares
Alan Belcher;Denis Kang;Alan Belcher
Tomasz Drwal;Ivan Serati;Tomasz Drwal
Dennis Siver;Nate Mohr;Dennis Siver
Rashad Evans;Forrest Griffin;Rashad Evans
Yushin Okami;Dean Lister;Yushin Okami
Cheick Kongo;Mostapha Al-Turk;Cheick Kongo
Antoni Hardonk;Mike Wessel;Antoni Hardonk
Matt Hamill;Reese Andy;Matt Hamill
Quinton Jackson;Wanderlei Silva;Quinton Jackson
Frank Mir;Antonio Rodrigo Nogueira;Frank Mir
CB Dollaway;Mike Massenzio;CB Dollaway
Brad Blackburn;Ryo Chonan;Brad Blackburn
Pat Barry;Dan Evensen;Pat Barry
Wilson Gouveia;Jason MacDonald;Wilson Gouveia
Junie Browning;David Kaplan;Junie Browning
Anthony Johnson;Kevin Burns;Anthony Johnson
Krzysztof Soszynski;Shane Primm;Krzysztof Soszynski
Tom Lawlor;Kyle Kingsbury;Tom Lawlor
Efrain Escudero;Phillipe Nover;Efrain Escudero
Ryan Bader;Vinny Magalhaes;Ryan Bader
Eliot Marshall;Jules Bruchez;Eliot Marshall
Shane Nelson;George Roop;Shane Nelson
Rolando Delgado;John Polakowski;Rolando Delgado
Ben Saunders;Brandon Wolff;Ben Saunders
Steve Cantwell;Razak Al-Hassan;Steve Cantwell
Jim Miller;Matt Wiman;Jim Miller
Steve Bruno;Johnny Rees;Steve Bruno
Josh Koscheck;Yoshiyuki Yoshida;Josh Koscheck
Tim Credeur;Nate Loughran;Tim Credeur
Luigi Fioravanti;Brodie Farber;Luigi Fioravanti
Mike Swick;Jonathan Goulet;Mike Swick
Dale Hartt;Corey Hill;Dale Hartt
Justin McCully;Eddie Sanchez;Justin McCully
Brock Lesnar;Randy Couture;Brock Lesnar
Dustin Hazelett;Tamdan McCrory;Dustin Hazelett
Kenny Florian;Joe Stevenson;Kenny Florian
Demian Maia;Nate Quarry;Demian Maia
Jeremy Stephens;Rafael Dos Anjos;Jeremy Stephens
Gabriel Gonzaga;Josh Hendricks;Gabriel Gonzaga
Aaron Riley;Jorge Gurgel;Aaron Riley
Mark Bocek;Alvin Robinson;Mark Bocek
Matt Brown;Ryan Thomas;Matt Brown
Junior Dos Santos;Fabricio Werdum;Junior Dos Santos
Sean Sherk;Tyson Griffin;Sean Sherk
Thales Leites;Drew McFedries;Thales Leites
Gray Maynard;Rich Clementi;Gray Maynard
Dan Miller;Matt Horwich;Dan Miller
Anderson Silva;Patrick Cote;Anderson Silva
Spencer Fisher;Shannon Gugerty;Spencer Fisher
Thiago Alves;Josh Koscheck;Thiago Alves
Pete Sell;Joshua Burkman;Pete Sell
Hermes Franca;Marcus Aurelio;Hermes Franca
Dan Hardy;Akihiro Gono;Dan Hardy
Luiz Cane;Rameau Thierry Sokoudjou;Luiz Cane
Shane Carwin;Neil Wain;Shane Carwin
Chris Lytle;Paul Taylor;Chris Lytle
Marcus Davis;Paul Kelly;Marcus Davis
Michael Bisping;Chris Leben;Michael Bisping
David Bielkheden;Jess Liaudin;David Bielkheden
Keith Jardine;Brandon Vera;Keith Jardine
Terry Etim;Sam Stout;Terry Etim
Per Eklund;Samy Schiavo;Per Eklund
Jim Miller;David Baron;Jim Miller
Alan Belcher;Ed Herman;Alan Belcher
Nate Diaz;Josh Neer;Nate Diaz
Clay Guida;Mac Danzig;Clay Guida
Alessio Sakara;Joe Vedepo;Alessio Sakara
Joe Lauzon;Kyle Bradley;Joe Lauzon
Jason Brilz;Brad Morris;Jason Brilz
Wilson Gouveia;Ryan Jensen;Wilson Gouveia
Eric Schafer;Houston Alexander;Eric Schafer
Mike Massenzio;Drew McFedries;Mike Massenzio
Dan Miller;Rob Kimmons;Dan Miller
Tim Boetsch;Michael Patt;Tim Boetsch
Rashad Evans;Chuck Liddell;Rashad Evans
Jason MacDonald;Jason Lambert;Jason MacDonald
Dong Hyun Kim;Matt Brown;Dong Hyun Kim
Rich Franklin;Matt Hamill;Rich Franklin
Kurt Pellegrino;Thiago Tavares;Kurt Pellegrino
Nate Marquardt;Martin Kampmann;Nate Marquardt
Dan Henderson;Rousimar Palhares;Dan Henderson
Ryo Chonan;Roan Carneiro;Ryo Chonan
Rob Emerson;Manvel Gamburyan;Rob Emerson
Demian Maia;Jason MacDonald;Demian Maia
Jon Jones;Andre Gusmao;Jon Jones
Kenny Florian;Roger Huerta;Kenny Florian
Tamdan McCrory;Luke Cummo;Tamdan McCrory
Brock Lesnar;Heath Herring;Brock Lesnar
Georges St-Pierre;Jon Fitch;Georges St-Pierre
Cheick Kongo;Dan Evensen;Cheick Kongo
Ben Saunders;Ryan Thomas;Ben Saunders
Chris Wilson;Steve Bruno;Chris Wilson
Brandon Vera;Reese Andy;Brandon Vera
Anderson Silva;James Irvin;Anderson Silva
Cain Velasquez;Jake O'Brien;Cain Velasquez
Tim Credeur;Cale Yarbrough;Tim Credeur
Rory Markham;Brodie Farber;Rory Markham
CB Dollaway;Jesse Taylor;CB Dollaway
Frankie Edgar;Hermes Franca;Frankie Edgar
Nate Loughran;Johnny Rees;Nate Loughran
Kevin Burns;Anthony Johnson;Kevin Burns
Shannon Gugerty;Dale Hartt;Shannon Gugerty
Brad Blackburn;James Giboo;Brad Blackburn
Joe Stevenson;Gleison Tibau;Joe Stevenson
Patrick Cote;Ricardo Almeida;Patrick Cote
Melvin Guillard;Dennis Siver;Melvin Guillard
Cole Miller;Jorge Gurgel;Cole Miller
Forrest Griffin;Quinton Jackson;Forrest Griffin
Tyson Griffin;Marcus Aurelio;Tyson Griffin
Josh Koscheck;Chris Lytle;Josh Koscheck
Gabriel Gonzaga;Justin McCully;Gabriel Gonzaga
Justin Buchholz;Corey Hill;Justin Buchholz
Dustin Hazelett;Joshua Burkman;Dustin Hazelett
Matt Brown;Matt Arroyo;Matt Brown
Kendall Grove;Evan Tanner;Kendall Grove
Diego Sanchez;Luigi Fioravanti;Diego Sanchez
Matthew Riddle;Dante Rivera;Matthew Riddle
Amir Sadollah;CB Dollaway;Amir Sadollah
Spencer Fisher;Jeremy Stephens;Spencer Fisher
Drew McFedries;Marvin Eastman;Drew McFedries
Dean Lister;Jeremy Horn;Dean Lister
Rob Kimmons;Rob Yundt;Rob Kimmons
Martin Kampmann;Jorge Rivera;Martin Kampmann
Mike Swick;Marcus Davis;Mike Swick
Michael Bisping;Jason Day;Michael Bisping
Fabricio Werdum;Brandon Vera;Fabricio Werdum
Matt Wiman;Thiago Tavares;Matt Wiman
Thiago Alves;Matt Hughes;Thiago Alves
Thales Leites;Nate Marquardt;Thales Leites
Kevin Burns;Roan Carneiro;Kevin Burns
Luiz Cane;Jason Lambert;Luiz Cane
Paul Taylor;Jess Liaudin;Paul Taylor
Antoni Hardonk;Eddie Sanchez;Antoni Hardonk
Rich Clementi;Terry Etim;Rich Clementi
Wanderlei Silva;Keith Jardine;Wanderlei Silva
Rousimar Palhares;Ivan Salaverry;Rousimar Palhares
Rameau Thierry Sokoudjou;Kazuhiro Nakamura;Rameau Thierry Sokoudjou
BJ Penn;Sean Sherk;BJ Penn
Lyoto Machida;Tito Ortiz;Lyoto Machida
Goran Reljic;Wilson Gouveia;Goran Reljic
Thiago Silva;Antonio Mendes;Thiago Silva
Yoshiyuki Yoshida;War Machine;Yoshiyuki Yoshida
Dong Hyun Kim;Jason Tan;Dong Hyun Kim
Shane Carwin;Christian Wellisch;Shane Carwin
Jason Day;Alan Belcher;Jason Day
Georges St-Pierre;Matt Serra;Georges St-Pierre
Mac Danzig;Mark Bocek;Mac Danzig
Michael Bisping;Charles McCarthy;Michael Bisping
Rich Franklin;Travis Lutter;Rich Franklin
Demian Maia;Ed Herman;Demian Maia
Jason MacDonald;Joe Doerksen;Jason MacDonald
Nate Quarry;Kalib Starnes;Nate Quarry
Cain Velasquez;Brad Morris;Cain Velasquez
Rich Clementi;Sam Stout;Rich Clementi
Jonathan Goulet;Kuniyoshi Hironaka;Jonathan Goulet
Matt Hamill;Tim Boetsch;Matt Hamill
Marcus Aurelio;Ryan Roberts;Marcus Aurelio
James Irvin;Houston Alexander;James Irvin
Thiago Alves;Karo Parisyan;Thiago Alves
Kenny Florian;Joe Lauzon;Kenny Florian
Gray Maynard;Frankie Edgar;Gray Maynard
Nate Diaz;Kurt Pellegrino;Nate Diaz
Josh Neer;Din Thomas;Josh Neer
Clay Guida;Samy Schiavo;Clay Guida
Manvel Gamburyan;Jeff Cox;Manvel Gamburyan
Anthony Johnson;Tommy Speer;Anthony Johnson
George Sotiropoulos;Roman Mitichyan;George Sotiropoulos
Josh Koscheck;Dustin Hazelett;Josh Koscheck
Luigi Fioravanti;Luke Cummo;Luigi Fioravanti
Jon Fitch;Chris Wilson;Jon Fitch
Chris Leben;Alessio Sakara;Chris Leben
Heath Herring;Cheick Kongo;Heath Herring
Andrei Arlovski;Jake O'Brien;Andrei Arlovski
Anderson Silva;Dan Henderson;Anderson Silva
Yushin Okami;Evan Tanner;Yushin Okami
Diego Sanchez;David Bielkheden;Diego Sanchez
Jorge Gurgel;John Halverson;Jorge Gurgel
Nate Marquardt;Jeremy Horn;Nate Marquardt
Ricardo Almeida;Rob Yundt;Ricardo Almeida
Antonio Rodrigo Nogueira;Tim Sylvia;Antonio Rodrigo Nogueira
Marvin Eastman;Terry Martin;Marvin Eastman
Tim Boetsch;David Heath;Tim Boetsch
Frank Mir;Brock Lesnar;Frank Mir
Tyson Griffin;Gleison Tibau;Tyson Griffin
Chris Lytle;Kyle Bradley;Chris Lytle
Rob Emerson;Keita Nakamura;Rob Emerson
Patrick Cote;Drew McFedries;Patrick Cote
Nate Diaz;Alvin Robinson;Nate Diaz
Kurt Pellegrino;Alberto Crane;Kurt Pellegrino
Thiago Tavares;Michihiro Omigawa;Thiago Tavares
Gray Maynard;Dennis Siver;Gray Maynard
Corey Hill;Joe Veres;Corey Hill
Jeremy Stephens;Cole Miller;Jeremy Stephens
Mike Swick;Joshua Burkman;Mike Swick
Matt Wiman;Justin Buchholz;Matt Wiman
Marcus Davis;Jess Liaudin;Marcus Davis
BJ Penn;Joe Stevenson;BJ Penn
Alessio Sakara;James Lee;Alessio Sakara
Antoni Hardonk;Colin Robinson;Antoni Hardonk
Fabricio Werdum;Gabriel Gonzaga;Fabricio Werdum
Paul Kelly;Paul Taylor;Paul Kelly
Jorge Rivera;Kendall Grove;Jorge Rivera
Wilson Gouveia;Jason Lambert;Wilson Gouveia
Sam Stout;Per Eklund;Sam Stout
Manvel Gamburyan;Nate Mohr;Manvel Gamburyan
Lyoto Machida;Rameau Thierry Sokoudjou;Lyoto Machida
Chuck Liddell;Wanderlei Silva;Chuck Liddell
Georges St-Pierre;Matt Hughes;Georges St-Pierre
Dean Lister;Jordan Radev;Dean Lister
Rich Clementi;Melvin Guillard;Rich Clementi
James Irvin;Luiz Cane;James Irvin
Eddie Sanchez;Soa Palelei;Eddie Sanchez
Roan Carneiro;Tony DeSouza;Roan Carneiro
Mark Bocek;Doug Evans;Mark Bocek
Roman Mitichyan;Dorian Price;Roman Mitichyan
War Machine;Jared Rollins;War Machine
Troy Mandaloniz;Richie Hightower;Troy Mandaloniz
